label,prediction,pca_x,pca_y
0,1,1.3663541,2.4342477
2,9,1.418678,-0.84626645
8,3,-1.3404704,0.8217409
8,3,0.5067138,1.3121437
7,2,3.613639,-6.234302
4,9,6.355183,2.028359
8,3,-1.0182719,-0.21340945
7,6,0.32930112,-3.8642888
6,5,0.94341224,4.4605975
4,9,5.7838387,1.9705476
3,7,-2.4442635,0.8144601
8,3,1.053479,-1.0406115
2,3,-3.0208898,1.9385107
6,5,1.3742958,4.41654
7,6,2.5461712,-4.6150656
0,1,2.1038077,1.8152006
1,3,-0.13264117,-2.080844
6,5,1.3772584,3.6788104
4,9,3.3731043,0.861805
2,8,-3.4427779,0.5817891
6,5,1.5349187,3.479151
8,3,-2.3143735,-2.0714939
6,5,0.4337259,4.4739413
2,7,-3.7645042,0.45604464
1,8,-1.7165945,2.1513157
8,3,0.21201743,1.171277
3,7,-2.8488033,0.842765
4,9,5.43363,0.50342196
6,5,0.83738005,4.3207517
2,4,-6.449268,0.9579738
3,7,-3.1091223,-2.2112935
4,9,4.4146776,2.391137
3,7,-4.466335,1.3082883
8,0,1.4727067,-1.8855733
7,6,0.05826036,-1.9775867
4,6,1.9145687,0.18151407
0,1,1.5392994,1.8260711
2,4,-4.4728937,0.63932526
1,3,-0.03176868,-0.6934066
8,3,1.0223114,0.1478697
1,9,2.0627704,-2.0161176
1,9,1.9055681,-2.0792863
1,3,0.5346644,0.009774036
3,7,-4.201403,-0.7151131
0,1,0.7900886,2.228784
2,8,-4.481863,1.6336919
6,5,0.9968662,4.4207397
0,1,0.7973591,2.834366
3,7,-3.422958,-2.2649295
1,9,2.599452,-0.9686657
7,4,-3.3035567,-2.4375694
1,9,2.4732707,-1.990226
0,1,1.0482056,1.2618444
8,9,2.6660354,-0.9273804
6,5,1.7486224,2.9000225
2,4,-5.6845865,0.8096089
5,0,-1.1646637,-0.1800323
5,0,-0.9484826,-0.7984594
9,7,-1.4923502,-0.29522073
9,7,-1.7230159,-0.22098958
2,4,-6.9454465,0.7541026
8,7,-1.0981454,0.66563797
3,4,-4.5665116,-3.7343261
2,8,-2.9828856,1.7886474
3,7,-2.5536227,-0.3299266
6,5,1.0263568,4.6927032
5,0,-0.9549391,0.8941261
6,5,1.5540707,2.8925395
4,9,4.5276885,1.0931756
7,2,3.6173825,-7.591592
2,4,-5.9366703,1.8254429
8,9,2.0989695,-0.9317469
3,7,-2.1065438,0.38686603
5,4,-4.3559527,-2.7298532
1,9,2.816384,-0.8621865
4,0,-2.3312495,-1.8696203
0,1,1.4108121,1.7464736
2,3,-0.75913024,-0.1578041
3,7,-1.58945,-3.6119604
6,5,1.0229386,4.448859
2,4,-5.5086813,1.4735836
3,7,-3.9398496,-2.334031
2,4,-3.206548,1.8036534
7,6,0.61625475,-3.0154288
8,3,-1.6256193,-1.4138294
1,3,0.97869414,0.34956387
0,1,0.7475104,3.0417435
6,5,1.1152244,3.819955
2,8,-3.6939662,0.8154936
8,3,0.14958662,0.87862444
8,7,-2.4672346,0.2988228
6,5,1.1757487,4.4295616
0,1,0.7165262,-0.11882862
2,4,-5.9934072,-0.49718258
5,0,0.6863871,-0.6046781
8,3,-1.7216718,-0.08749847
5,0,-2.3825452,-3.7946043
5,7,-0.8573114,0.8009008
5,4,-3.3068857,-2.1933448
6,5,1.7761134,3.2883685
8,3,-0.29928386,0.8782879
6,5,1.0647093,4.2242007
3,4,-4.1874948,-3.7961302
8,3,-2.195766,-0.895539
4,9,4.002219,0.3221265
3,6,-1.8796282,-4.634431
1,9,2.272994,-1.7435704
6,5,0.80746466,4.853028
4,9,4.1462464,0.5523903
5,0,-0.68508023,-1.4979492
9,7,-3.0905082,1.4080298
3,7,-1.7520463,0.94318926
8,3,1.5049108,-1.1463814
9,7,-1.690601,1.4928848
0,1,2.116312,1.2787153
3,7,-3.2571697,-2.1485262
4,9,5.457225,-0.025125355
9,7,0.49789238,0.19417295
4,6,2.1212122,-0.23630922
0,1,1.6121686,1.4540759
8,3,-0.84783936,1.1692436
5,4,-3.6394572,-2.2052784
8,7,-0.362203,1.5391802
3,7,-2.7808878,1.1626178
3,4,-5.038531,-4.130803
5,0,-1.3192575,-0.75489026
3,7,-3.0157046,-2.736116
6,5,1.817921,3.7041268
0,1,1.8215833,2.4662688
4,9,5.5038033,1.957733
0,1,2.6896827,1.6112634
9,7,-2.3389893,1.4144871
0,1,2.323729,3.4090123
6,5,-0.26746702,3.9202073
7,6,-1.4119991,-2.2167065
6,5,0.73218167,4.6225924
0,1,1.9472839,1.836835
9,7,-2.1449354,1.2871534
0,1,1.1050775,1.750042
4,9,5.9436183,1.4300202
7,2,4.1042137,-6.306073
9,7,-0.6830737,0.9761628
3,7,-0.8457823,0.8039797
0,1,0.80609614,2.7081225
5,0,-1.2886297,-0.9673802
2,4,-5.950596,1.7001333
2,8,-2.2974532,1.889049
3,7,-1.3740274,-0.5890391
6,5,2.0503056,2.4611259
4,9,8.409528,1.5623991
0,1,0.7820767,0.71098435
5,0,0.42277163,-0.11381368
2,4,-5.9610596,-0.28056595
