borough1,building_class_category,total_sales_count,avg_sale_price,avg_price_per_sqft
3,02 TWO FAMILY HOMES,62057,645222.18,390.51
3,01 ONE FAMILY HOMES,33853,626988.53,427.94
3,10  COOPS - ELEVATOR APARTMENTS,28879,310156.53,11.31
3,13  CONDOS - ELEVATOR APARTMENTS,25286,697367.98,402.77
3,03 THREE FAMILY HOMES,21347,723969.15,420.76
3,07  RENTALS - WALKUP APARTMENTS,15330,1213473.23,1270.22
3,09  COOPS - WALKUP APARTMENTS,7653,491208.39,167.46
3,15  CONDOS - 2-10 UNIT RESIDENTIAL,7220,631914.03,
3,04  TAX CLASS 1 CONDOS,6277,489193.15,
3,12  CONDOS - WALKUP APARTMENTS,5106,533011.26,
3,14  RENTALS - 4-10 UNIT,3381,1022751.13,1086.97
3,05  TAX CLASS 1 VACANT LAND,3342,599810.77,1425.33
3,22  STORE BUILDINGS,2506,2143308.33,2793.24
3,13 CONDOS - ELEVATOR APARTMENTS,2500,1194444.69,
3,29  COMMERCIAL GARAGES,2340,2065660.15,12371.41
3,10 COOPS - ELEVATOR APARTMENTS,1902,459345.58,2.21
3,28  COMMERCIAL CONDOS,1787,829292.97,
3,31  COMMERCIAL VACANT LAND,1615,1597571.91,14391.23
3,27  FACTORIES,1293,3198968.54,5891.87
3,30  WAREHOUSES,1121,4183829.01,1846.7
3,08  RENTALS - ELEVATOR APARTMENTS,1058,9930261.49,199.33
3,15 CONDOS - 2-10 UNIT RESIDENTIAL,799,974633.23,
3,07 RENTALS - WALKUP APARTMENTS,722,2303104.2,389.07
3,21  OFFICE BUILDINGS,705,4827872.0,7989.36
3,41  TAX CLASS 4 - OTHER,605,1230314.91,843.38
3,09 COOPS - WALKUP APARTMENTS,524,682713.18,
3,04 TAX CLASS 1 CONDOS,430,807213.93,
3,17  CONDOPS,413,394741.94,6.02
3,44  CONDO PARKING,397,188551.23,
3,12 CONDOS - WALKUP APARTMENTS,340,718177.84,
3,37  RELIGIOUS FACILITIES,309,1479223.83,227.02
3,06  TAX CLASS 1 - OTHER,304,431893.88,140.9
3,17  CONDO COOPS,209,440779.32,
3,14 RENTALS - 4-10 UNIT,195,1832169.97,414.49
3,32  HOSPITAL AND HEALTH FACILITIES,179,5986670.34,331.11
3,22 STORE BUILDINGS,169,4036925.49,709.99
3,44 CONDO PARKING,141,166496.46,
3,05 TAX CLASS 1 VACANT LAND,136,904083.16,157.47
3,43  CONDO OFFICE BUILDINGS,134,3601263.96,
3,33  EDUCATIONAL FACILITIES,130,3264543.5,289.0
3,16  CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT,123,560195.86,
3,29 COMMERCIAL GARAGES,112,4423659.83,1520.89
3,35  INDOOR PUBLIC AND CULTURAL FACILITIES,100,4135661.72,981.0
3,23  LOFT BUILDINGS,73,11038106.25,184.85
3,30 WAREHOUSES,63,8035596.63,692.55
3,21 OFFICE BUILDINGS,54,15834161.04,472.4
3,46  CONDO STORE BUILDINGS,53,5197633.98,
3,31 COMMERCIAL VACANT LAND,50,2850704.7,
3,47  CONDO NON-BUSINESS STORAGE,48,30686.75,
3,08 RENTALS - ELEVATOR APARTMENTS,44,16269782.07,390.24
3,38  ASYLUMS AND HOMES,44,6876627.68,277.82
3,49  CONDO WAREHOUSES/FACTORY/INDUS,43,69828.65,
3,26  OTHER HOTELS,42,11809684.1,441.69
3,27 FACTORIES,40,4843625.0,545.38
3,41 TAX CLASS 4 - OTHER,33,8155492.7,13951.36
3,43 CONDO OFFICE BUILDINGS,29,660365.83,
3,17 CONDO COOPS,27,702055.26,
3,37 RELIGIOUS FACILITIES,22,2795260.0,740.08
3,36  OUTDOOR RECREATIONAL FACILITIES,20,2085801.9,1793.06
3,16 CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT,20,1032594.1,
3,33 EDUCATIONAL FACILITIES,17,7233176.47,458.87
3,11A CONDO-RENTALS,17,19632782.88,9449.45
3,06 TAX CLASS 1 - OTHER,17,901211.76,1837.08
3,18  TAX CLASS 3 - UTILITY PROPERTIES,14,9318667.64,6740846.49
3,34  THEATRES,12,10459160.75,453.54
3,42  CONDO CULTURAL/MEDICAL/EDUCATIONAL/ETC,12,1242948.5,
3,47 CONDO NON-BUSINESS STORAGE,12,29731.75,
3,48  CONDO TERRACES/GARDENS/CABANAS,12,2746395.42,
3,48 CONDO TERRACES/GARDENS/CABANAS,11,241387.64,
3,46 CONDO STORE BUILDINGS,10,2336350.9,
3,32 HOSPITAL AND HEALTH FACILITIES,10,7186113.4,387.66
3,40  SELECTED GOVERNMENTAL FACILITIES,8,3063800.0,203.68
3,49 CONDO WAREHOUSES/FACTORY/INDUS,6,17166.67,
3,25  LUXURY HOTELS,5,11111800.4,125.95
3,39  TRANSPORTATION FACILITIES,5,36215423.6,143.08
3,28 COMMERCIAL CONDOS,5,2708212.8,
3,18  TAX CLASS 3 - UNTILITY PROPERTIES,4,3861664.25,
3,35 INDOOR PUBLIC AND CULTURAL FACILITIES,3,19650000.0,743.64
3,26 OTHER HOTELS,3,141666666.67,593.35
3,38 ASYLUMS AND HOMES,2,5942796.5,213.05
3,36 OUTDOOR RECREATIONAL FACILITIES,2,110000.0,
3,11  SPECIAL CONDO BILLING LOTS,2,330500.0,12.38
3,42 CONDO CULTURAL/MEDICAL/EDUCATIONAL/ETC,2,1379103.5,
3,34 THEATRES,1,19000000.0,199.07
3,45  CONDO HOTELS,1,88000000.0,
3,23 LOFT BUILDINGS,1,10250000.0,337.84
3,39 TRANSPORTATION FACILITIES,1,220000.0,
3,45 CONDO HOTELS,1,7700000.0,
